Title_ID,Name,Editions
CUSA00001,The Playroom,Original
CUSA00002,Killzone: Shadow Fall,Original PlayStation Hits
CUSA00003,Driveclub,Original Special Edition Steelbook
CUSA00004,inFamous: Second Son,Original
CUSA00005,Resogun,Original
CUSA00006,Knack,Original
CUSA00007,NBA 2K14,Original
CUSA00008,Killzone: Shadow Fall,Original Promo
CUSA00009,Assassin's Creed IV: Black Flag,Original Promo
CUSA00010,Assassin's Creed IV: Black Flag,Original
CUSA00011,Contrast,Original
CUSA00012,DC Universe Online,Original
CUSA00013,F1 2015,Original
CUSA00014,Knack,Original
CUSA00015,GTI Club: Rally Cote D'Azur,None
CUSA00016,Watch Dogs,Original
CUSA00017,Angry Birds Star Wars,Original
CUSA00018,Call of Duty: Ghosts,Original
CUSA00019,Skylanders: Swap Force,Original
CUSA00020,F1 2015,Original
CUSA00021,Watch Dogs,Original
CUSA00022,Watch Dogs,Original
CUSA00023,F1 2014,None
CUSA00024,Skylanders: Swap Force,Original
CUSA00025,Call of Duty: Ghosts,Original
CUSA00026,Call of Duty® Ghosts,None
CUSA00027,Call of Duty® Ghosts,None
CUSA00028,Call of Duty: Ghosts,Original
CUSA00029,Watch Dogs,None
CUSA00030,Watch Dogs,None
CUSA00031,Rayman Legends,Original
CUSA00033,SingStar,Original
CUSA00034,Escape Plan,Original
CUSA00035,The Order: 1886,Collector's Edition Original Premium Edition
CUSA00036,Doki-Doki Universe,Original
CUSA00037,Resogun,None
CUSA00038,Resogun,Original
CUSA00039,MLB 14: The Show,Original
CUSA00040,Sound Shapes,Original
CUSA00041,N++,Original
CUSA00042,Blacklight: Retribution,Original
CUSA00043,Basement Crawl,Original
CUSA00044,LEGO Marvel Super Heroes,Original
CUSA00045,Super Motherload,Original
CUSA00046,Doki-Doki Universe,Original
CUSA00047,Blast 'Em Bunnies,Original
CUSA00048,Basement Crawl,Original
CUSA00049,Battlefield 4,Original
CUSA00050,Dying Light,Original
CUSA00051,Injustice: Gods Among Us: Ultimate Edition,Original
CUSA00052,The LEGO Movie: Videogame,Original
CUSA00053,Middle-Earth: Shadow of Mordor,Original
CUSA00054,Mad Max,Original
CUSA00055,Tiny Brains,Original
CUSA00056,Blast 'Em Bunnies,Original
CUSA00057,Strider,Original
CUSA00058,Super Motherload,Original
CUSA00059,Crackle,Original
CUSA00061,WebMAF Development Environment,Original
CUSA00062,Alienation,Original
CUSA00063,LittleBigPlanet 3,Original
CUSA00064,Driveclub,Original
CUSA00065,Killzone: Shadow Fall,Original PlayStation Hits
CUSA00066,Driveclub,Original
CUSA00068,Knack,Original
CUSA00069,Rayman Legends,Original
CUSA00070,The Order: 1886,Original
CUSA00071,Velocity 2X,Original
CUSA00072,All 4,Original
CUSA00073,Sound Shapes,None
CUSA00074,Child of Light,Original
CUSA00075,Watchever,Original
CUSA00076,The Order: 1886,Limited Edition Original
CUSA00077,Flower,Original
CUSA00078,Dying Light,Original
CUSA00079,Injustice: Gods Among Us: Ultimate Edition,Original
CUSA00080,Warframe,Original
CUSA00081,The Pinball Arcade,Original
CUSA00082,Anomaly 2,Original
CUSA00083,LEGO Marvel Super Heroes,Original
CUSA00084,The LEGO Movie: Videogame,Original
CUSA00085,Killzone: Shadow Fall,Original
CUSA00086,The Elder Scrolls Online: Tamriel Unlimited,Elsweyr Gold Edition Morrowind Original Summerset
CUSA00087,Strider,Original
CUSA00088,Madden NFL 25,Original
CUSA00089,NBA Live 14,Original
CUSA00090,Sound Shapes,Original
CUSA00091,Hohokum,Original
CUSA00092,Flower,Original
CUSA00093,Driveclub,Original PlayStation Hits
CUSA00094,DRIVECLUB™,None
CUSA00095,Crunchyroll,Original
CUSA00096,VUDU,Original
CUSA00097,YuppTV,Original
CUSA00098,Epix,Original
CUSA00100,The Order: 1886,Original
CUSA00101,SingStar,Original
CUSA00102,Middle-Earth: Shadow of Mordor,Original
CUSA00103,Mad Max,Original
CUSA00104,NBA 2K14,Original
CUSA00105,The Pinball Arcade,Original
CUSA00106,Warframe,Original
CUSA00107,Tomb Raider: Definitive Edition,Original
CUSA00108,The Tomorrow Children,Original
CUSA00109,Tomb Raider: Definitive Edition,Original
CUSA00110,Battlefield 4,Original
CUSA00111,FIFA 14,Original
CUSA00112,Madden NFL 25,Original
CUSA00113,Need for Speed: Rivals,Complete Edition Original
CUSA00114,NBA Live 14,Original
CUSA00115,Maxdome,Original
CUSA00116,BBC Sport,Original
CUSA00117,Now TV,Original
CUSA00118,Ximon,Original
CUSA00119,TotalChannel,Original
CUSA00120,NOS Sport,Original
CUSA00121,RTBF,Original
CUSA00122,BBC iPlayer,Original
CUSA00123,Rakuten TV,Original
CUSA00124,Viaplay,Original
CUSA00125,Tottemo E-Mahjong Plus,Original
CUSA00126,Amazon Prime Video,Original
CUSA00127,Netflix,Original
CUSA00128,FIFA 14,Original
CUSA00129,Netflix,Original
CUSA00130,Amazon Prime Video,Original
CUSA00131,Hulu Plus,Original
CUSA00132,The Elder Scrolls Online: Tamriel Unlimited,Gold Edition Original
CUSA00133,Batman: Arkham Knight,Limited Edition Original PlayStation Hits
CUSA00134,NBA 2K14,Original
CUSA00135,Batman: Arkham Knight,Original Playstation Hits
CUSA00136,Pool Nation,None
CUSA00137,Anomaly 2,Original
CUSA00139,Pool Nation VR Arcade,None
CUSA00140,Knack,Demo
CUSA00141,Escape Plan,Original
CUSA00142,Helldivers,Original
CUSA00143,Hohokum,Original
CUSA00144,Flow,Original
CUSA00145,Redbox Instant,Original
CUSA00146,PlanetSide 2,Unreleased
CUSA00147,Awesomenauts Assemble!,Original
CUSA00149,Call of Duty® Ghosts,None
CUSA00150,Call of Duty® Ghosts,None
CUSA00151,Guacamelee! Super Turbo Championship Edition,Original
CUSA00152,Escape Plan,Original
CUSA00153,Escape Plan,Original
CUSA00154,Sound Shapes,Original
CUSA00155,FIFA 14,Original
CUSA00156,Need for Speed: Rivals,Original
CUSA00157,Battlefield 4,Original
CUSA00158,Don't Starve: Console Edition,Original
CUSA00159,Dynasty Warriors 8: Xtreme Legends Complete Edition,Original
CUSA00160,Knack,Original
CUSA00161,The Crew,Original
CUSA00162,Call of Duty: Ghosts,Original
CUSA00163,Ryuu ga Gotoku: Ishin!,Original
CUSA00164,Strider,Original
CUSA00165,Tiny Brains,Original
CUSA00167,Super Motherload,Demo
CUSA00168,Need for Speed: Rivals,Complete Edition Limited Edition with Steelbook Original PlayStation Hits
CUSA00169,Doki-Doki Universe,Original
CUSA00170,FIFA 14,Original
CUSA00171,Blacklight: Retribution,None
CUSA00172,FIFA 14,Demo
CUSA00173,FIFA 14,Demo
CUSA00174,FIFA 14,Demo
CUSA00175,Sound Shapes,Original
CUSA00176,Dead Nation: Apocalypse Edition,Original
CUSA00177,The Pinball Arcade,Demo
CUSA00178,Flow,Original
CUSA00179,Flowery,Original
CUSA00180,Flow,Original
CUSA00181,Contrast,Kiosk Demo
CUSA00182,War Thunder,Original
CUSA00183,Worms Battlegrounds,Original
CUSA00184,Angry Birds Star Wars,Original
CUSA00185,FIFA 14,Demo
CUSA00186,Zen Pinball 2,Original
CUSA00187,Zen Pinball 2,Original
CUSA00189,Just Dance 2014,Original
CUSA00190,Killzone: Shadow Fall,Original Rerelease
CUSA00191,Killzone: Shadow Fall,Original
CUSA00192,Worms Battlegrounds,Original
CUSA00193,KILLZONE™ SHADOW FALL,None
CUSA00194,Until Dawn,Original Press Kit
CUSA00195,Just Dance 2014,Original
CUSA00196,Octodad: Dadliest Catch,Original
CUSA00197,Octodad: Dadliest Catch,Demo
CUSA00198,Ubi Test App,None
CUSA00199,1001 Spikes,Original
CUSA00200,1001 Spikes,None
CUSA00201,BigFest,None
CUSA00202,Knack,Original
CUSA00203,The Evil Within,Original
CUSA00204,Divekick,Original
CUSA00205,Divekick,None
CUSA00206,Assassin's Creed IV: Black Flag,Original
CUSA00207,Bloodborne,"Original Original, Kollekcionnoe izdanie"
CUSA00208,Bloodborne,Original
CUSA00209,The Evil Within,None
CUSA00210,Divekick,Original
CUSA00211,Metal Gear Solid V: Ground Zeroes,Original
CUSA00212,The Pinball Arcade,Original
CUSA00213,Honor and Duty: Arcade Edition,Original
CUSA00214,NBA Game Time,Original
CUSA00215,Assassin's Creed IV: Black Flag,None
CUSA00216,Pure Chess,Original
CUSA00217,Trine 2: Complete Story,Original
CUSA00218,Metal Gear Solid V: Ground Zeroes,Original
CUSA00219,Destiny,Original
CUSA00220,Dragon Age: Inquisition,Original
CUSA00221,The Crew,Original Ultimate Edition
CUSA00222,UFC,Original
CUSA00223,inFamous: Second Son,Original PlayStation Hits Rerelease
CUSA00224,War Thunder,Original
CUSA00225,Metal Gear Solid V: Ground Zeroes,Original
CUSA00226,Contrast,Original
CUSA00227,Apache Overkill Blitz,None
CUSA00228,Replay-Remix,None
CUSA00229,Watch Dogs,None
CUSA00230,Trials Fusion,Deluxe Edition Original
CUSA00231,Helldivers,Original
CUSA00232,NBA Live 14,Demo
CUSA00233,NBA Live 14,Demo
CUSA00234,Trine 2: Complete Story,Original
CUSA00235,VidZone,Original
CUSA00236,Dead Nation: Apocalypse Edition,Original
CUSA00237,VidZone,Original
CUSA00238,IGN,Original
CUSA00239,The Amazing Spider-Man 2,Original
CUSA00240,Pure Chess,Original
CUSA00241,NHL Gamecenter,Original
CUSA00242,Diablo III: Reaper of Souls: Ultimate Evil Edition,Original
CUSA00243,Diablo III: Reaper of Souls: Ultimate Evil Edition,Original
CUSA00245,Hustle Kings,Original
CUSA00246,Backgammon Blitz,Original
CUSA00247,Quickflix,Original
CUSA00248,Demand 5,Original
CUSA00249,DC Universe Online,Original
CUSA00250,Thief,Original
CUSA00251,LEGO Marvel Super Heroes,Demo
CUSA00252,Thief,Original
CUSA00253,Blacklight: Retribution,Original
CUSA00254,Dynasty Warriors 8: Xtreme Legends Complete Edition,Original
CUSA00255,Nobunaga's Ambition: Sphere of Influence,Original
CUSA00256,PlayMemories Online,Original
CUSA00257,RIGS: Mechanized Combat League,Original
CUSA00258,LEGO Marvel Super Heroes,Demo
CUSA00259,Trials Fusion,Original
CUSA00261,Awesomenauts Assemble!,Original
CUSA00262,BIT.TRIP Complete HD,None
CUSA00263,inFamous: Second Son,Original
CUSA00264,UFC,Original
CUSA00265,Minecraft: PlayStation 4 Edition,Bedrock Edition Original
CUSA00266,MLB® 14 The Show™,None
CUSA00267,Beyond: Two Souls,Original
CUSA00268,IGN,Original
CUSA00269,Blacklight: Retribution,None
CUSA00270,Transformers: Rise of the Dark Spark,Original
CUSA00271,Putty Squad,Original
CUSA00272,NBA Game Time,Original
CUSA00273,BBC News,Original
CUSA00274,Toki Tori 2+,Original
CUSA00275,Resogun,Original
CUSA00276,FIFA 14,Demo
CUSA00277,Hohokum,Original
CUSA00278,Sky Online,Original
CUSA00279,FilmoTV,Original
CUSA00280,MEO VideoClube,Original
CUSA00281,FilmBox Live,Original
CUSA00282,Daylight,Original
CUSA00283,Minecraft: PlayStation 4 Edition,Original
CUSA00284,Rayman Legends,Original PlayStation Hits
CUSA00285,Final Fantasy XIV Online: A Realm Reborn,Original Starter Edition Original
CUSA00286,Sniper Elite III,Original
CUSA00287,Daylight,Original
CUSA00288,Final Fantasy XIV Online: A Realm Reborn,Original Original Original Original
CUSA00289,PlayStation® Protection Plan,None
CUSA00290,PlayStation® Protection Plan,None
CUSA00291,The Pinball Arcade,Original
